rentRate.daily,rentRate.hourly
$13.75,$5.11
$28.41,$3.68
$11.30,$3.57
$23.56,$7.29
$14.41,$1.22
$23.94,$9.44
$16.62,$4.60
$25.26,$2.73
$15.67,$5.67
$14.86,$7.59
$26.49,$5.88
$10.14,$4.42
$19.56,$7.97
$26.68,$2.69
$23.12,$2.73
$25.97,$3.91
$28.73,$9.72
$13.09,$4.56
$27.82,$1.93
$25.98,$9.28
$24.99,$8.70
$20.54,$4.30
$27.59,$6.97
$11.36,$7.40
$13.85,$8.32
$10.68,$6.40
$20.27,$4.74
$23.14,$5.98
$19.84,$2.81
$13.03,$9.31
$27.24,$5.12
$24.53,$3.46
$11.82,$1.12
$28.82,$1.33
$19.95,$8.98
$27.47,$5.07
$20.16,$3.86
$16.02,$6.83
$15.51,$2.90
$18.67,$4.74
$25.07,$1.93
$29.11,$6.30
$21.55,$3.81
$19.30,$7.88
$11.10,$3.48
$19.53,$8.54
$10.48,$6.26
$12.40,$9.21
$23.15,$1.24
$21.94,$8.46
$16.66,$1.45
$23.09,$3.78
$17.04,$9.87
$13.29,$6.07
$27.97,$7.01
$29.42,$5.43
$12.73,$9.10
$17.68,$8.71
$25.58,$7.49
$21.26,$6.59
$17.30,$6.38
$28.56,$9.00
$24.09,$8.70
$19.99,$8.31
$28.68,$4.13
$16.40,$4.21
$27.82,$6.60
$20.58,$4.88
$22.63,$8.91
$17.65,$6.57
$17.08,$6.63
$24.89,$9.57
$14.21,$4.83
$26.21,$4.70
$26.22,$1.49
$18.15,$7.84
$24.51,$9.93
$25.93,$5.98
$20.44,$3.16
$26.38,$8.21
$26.03,$1.06
$27.14,$5.97
$23.89,$8.06
$20.38,$8.70
$19.23,$5.45
$25.37,$8.53
$12.16,$8.28
$18.69,$4.09
$19.85,$2.75
$10.91,$7.81
$24.26,$2.41
$26.85,$4.65
$26.26,$5.41
$25.62,$7.10
$11.12,$3.08
$22.22,$9.09
$29.84,$9.23
$10.31,$3.11
$12.44,$8.91
$17.85,$1.75
$26.66,$1.10
$24.73,$7.20
$15.48,$4.19
$23.58,$9.23
$17.32,$7.62
$26.77,$1.76
$27.84,$4.79
$25.36,$4.74
$26.11,$3.39
$25.27,$6.61
$22.49,$8.45
$18.08,$1.77
$19.34,$9.65
$10.57,$4.65
$14.17,$5.07
$11.71,$5.88
$10.17,$6.86
$21.90,$1.45
$27.45,$6.21
$28.75,$7.77
$18.26,$2.80
$17.77,$1.98
$11.75,$9.06
$29.67,$7.81
$27.11,$9.35
$24.08,$2.80
$26.74,$9.03
$13.08,$8.21
$20.53,$8.26
$20.78,$8.74
$15.24,$3.81
$17.84,$4.38
$14.76,$7.86
$23.52,$9.50
$22.12,$5.30
$17.76,$6.05
$24.60,$8.25
$20.14,$3.05
$25.38,$6.28
$13.40,$5.25
$14.99,$9.29
$26.48,$8.13
$16.49,$8.62
$28.01,$7.69
$28.68,$2.11
$29.61,$4.16
$19.59,$6.85
$21.05,$7.26
$16.73,$7.56
$21.72,$6.30
$12.53,$7.76
$17.27,$2.37
$23.54,$4.10
$16.89,$8.25
$23.91,$6.44
$29.03,$6.96
$26.14,$7.54
$29.71,$7.83
$10.86,$7.55
$21.60,$3.79
$16.68,$2.16
$22.42,$2.26
$11.29,$3.69
$20.71,$6.11
$12.77,$6.10
$17.88,$5.61
$25.65,$8.65
$10.65,$6.78
$16.18,$3.41
$15.08,$3.50
$19.64,$3.93
$23.41,$7.10
$28.86,$1.58
$18.39,$9.14
$17.81,$9.83
$22.16,$8.06
$25.28,$1.88
$12.98,$1.80
$24.28,$3.23
$11.85,$7.22
$14.55,$4.59
$25.97,$1.81
$22.09,$1.02
$12.16,$2.97
$23.98,$1.37
$18.92,$1.80
$22.92,$7.14
$17.14,$5.81
$14.84,$9.64
$10.22,$6.78
$29.29,$3.32
$28.69,$5.55
$23.07,$7.40
$22.45,$6.46
$16.94,$1.92
$20.19,$1.56
$11.55,$7.72
$18.64,$2.89
$13.61,$4.00
$28.44,$4.28
$28.16,$9.39
$24.14,$6.61
$28.32,$6.21
$22.90,$7.22
$18.89,$9.34
$21.25,$2.81
$22.75,$5.81
$12.19,$4.09
$16.13,$4.39
$15.50,$2.55
$22.11,$2.32
$23.44,$6.81
$15.54,$9.37
$23.10,$8.57
$21.62,$9.37
$12.95,$2.88
$14.29,$9.83
$18.97,$9.01
$14.56,$3.25
$14.92,$1.83
$27.70,$1.74
$17.94,$9.50
$10.23,$4.17
$19.40,$3.85
$16.63,$3.31
$20.63,$5.76
$26.27,$1.47
$19.49,$1.61
$19.14,$2.29
$18.03,$3.05
$17.70,$1.41
$23.73,$2.94
$15.86,$1.46
$14.10,$1.51
$19.03,$7.39
$23.23,$9.83
$25.61,$1.04
$12.29,$5.63
$29.32,$2.95
$28.20,$9.06
$13.91,$3.09
$15.49,$1.83
$20.19,$4.61
$20.25,$3.94
$14.26,$6.10
$13.50,$7.33
$25.40,$3.92
$16.49,$7.14
$12.74,$2.51
$10.54,$3.29
$20.98,$3.47
$25.82,$6.51
$27.63,$5.52
$17.57,$7.50
$21.06,$6.00
$13.84,$8.78
$13.10,$9.47
$11.65,$9.00
$23.45,$3.32
$28.81,$2.86
$15.15,$4.74
$21.48,$3.96
$25.80,$2.88
$12.82,$8.71
$25.97,$6.07
$15.43,$6.58
$10.42,$5.74
$19.15,$4.20
$28.47,$3.81
$24.12,$1.10
$25.81,$1.30
$16.08,$6.01
$10.88,$4.36
$22.50,$6.40
$18.51,$6.62
$27.05,$3.35
$24.50,$6.32
$13.98,$2.89
$21.43,$1.29
$23.56,$2.34
$29.73,$6.61
$14.28,$3.81
$11.13,$6.36
$29.76,$3.82
$29.37,$2.25
$15.56,$3.20
$24.61,$1.76
$28.81,$5.46
$13.58,$3.13
$22.05,$1.39
$10.95,$8.44
$14.53,$3.89
$14.73,$3.52
$17.64,$5.39
$17.01,$6.16
$22.59,$7.88
$14.43,$4.25
$20.30,$1.61
$10.23,$3.59
$16.37,$2.25
$10.03,$2.47
$17.68,$5.50
$22.99,$8.27
$17.91,$5.63
$18.07,$5.28
$29.06,$1.27
$15.69,$1.79
$26.43,$4.85
$11.96,$5.80
$10.30,$9.10
$11.11,$9.96
$22.27,$9.23
$16.25,$2.87
$11.67,$8.64
$25.06,$6.92
$16.89,$1.11
$15.71,$3.50
$25.93,$2.53
$22.58,$5.95
$27.44,$9.37
$27.84,$9.51
$25.20,$7.03
$24.01,$6.82
$23.01,$1.82
$22.25,$5.02
$24.13,$4.42
$15.34,$8.52
$25.52,$4.06
$17.40,$9.77
$26.43,$8.38
$22.45,$7.11
$25.79,$1.29
$25.91,$5.18
$17.41,$5.58
$23.61,$8.47
$16.80,$4.87
$29.18,$8.63
$13.89,$1.47
$10.24,$5.28
$27.96,$3.48
$28.92,$6.27
$18.61,$3.87
$20.26,$2.30
$28.73,$6.46
$28.58,$5.72
$23.95,$5.75
$25.87,$3.42
$13.92,$4.15
$22.97,$5.57
$27.66,$5.57
$22.05,$2.21
$16.64,$5.42
$10.51,$1.91
$27.31,$4.29
$20.17,$2.15
$14.76,$2.95
$14.76,$3.23
$28.03,$1.24
$21.72,$8.94
$20.27,$3.31
$16.60,$1.72
$11.21,$3.07
$28.06,$5.91
$16.61,$7.27
$20.44,$6.64
$18.62,$7.77
$24.04,$2.62
$15.97,$6.56
$29.88,$6.75
$27.94,$7.43
$15.69,$5.83
$27.42,$2.00
$21.33,$5.19
$24.62,$8.83
$14.01,$6.76
$27.71,$2.00
$15.11,$2.68
$17.01,$9.43
$26.50,$5.15
$19.09,$2.44
$24.75,$8.05
$24.02,$6.42
$12.58,$7.49
$11.84,$8.79
$24.67,$3.40
$20.62,$9.76
$29.77,$4.42
$18.74,$9.00
$25.08,$6.70
$26.00,$2.15
$27.31,$9.02
$25.98,$9.15
$15.45,$5.98
$11.80,$6.94
$27.87,$3.72
$10.50,$9.61
$27.37,$2.88
$27.43,$9.46
$12.30,$9.56
$12.57,$3.24
$17.98,$4.62
$19.87,$9.24
$15.09,$7.05
$11.72,$1.56
$11.74,$4.62
$10.76,$5.89
$24.39,$4.36
$16.13,$2.04
$11.30,$3.81
$18.70,$5.48
$21.97,$5.92
$16.69,$7.13
$12.57,$5.98
$17.66,$5.91
$10.56,$9.51
$27.13,$1.21
$19.96,$2.49
$12.65,$1.00
$10.77,$8.05
$15.92,$6.72
$10.91,$9.72
$17.26,$1.55
$16.69,$6.81
$28.45,$8.00
$29.34,$5.26
$23.54,$6.70
$10.69,$5.83
$29.01,$4.36
$21.46,$1.03
$25.94,$7.81
$24.60,$5.66
$20.88,$5.71
$28.40,$2.66
$27.91,$6.78
$27.16,$2.09
$27.56,$9.64
$10.82,$3.89
$17.54,$3.67
$24.97,$1.37
$29.52,$1.48
$27.92,$4.06
$25.62,$2.38
$20.52,$9.41
$25.50,$2.77
$20.50,$3.07
$19.18,$6.58
$24.47,$2.91
$28.76,$5.37
$13.46,$2.61
$21.09,$6.39
$29.74,$7.76
$15.69,$5.05
$19.77,$6.77
$14.37,$2.15
$25.50,$3.19
$22.50,$5.20
$21.71,$2.30
$21.85,$4.25
$25.13,$4.55
$21.49,$4.27
$28.15,$1.01
$29.72,$1.89
$29.69,$3.94
$13.51,$5.71
$22.16,$5.47
$12.22,$1.87
$29.31,$5.45
$20.92,$6.00
$22.17,$3.78
$14.05,$5.55
$16.80,$9.38
$12.88,$8.49
$15.70,$8.08
$29.22,$2.96
$26.52,$7.92
$25.06,$5.19
$19.81,$8.96
$25.60,$2.85
$14.20,$2.30
$28.84,$6.38
$25.67,$4.55
$24.75,$1.20
$21.35,$4.74
$15.85,$6.31
$27.01,$3.13
$12.12,$9.13
$15.58,$9.63
$25.26,$9.03
$19.23,$1.02
$29.24,$5.71
$28.76,$8.84
$12.56,$4.40
$24.52,$9.65
$24.87,$6.83
$19.19,$5.02
$18.69,$3.98
$29.02,$6.68
$16.09,$2.75
$16.18,$7.14
$25.12,$1.46
$12.11,$4.92
$27.42,$5.72
$29.69,$7.83
$10.03,$3.01
$10.83,$6.42
$22.05,$4.66
$18.99,$4.73
$20.67,$1.28
$18.75,$3.93
$18.19,$8.17
$21.35,$6.26
$28.49,$3.99
$11.36,$5.97
$22.44,$5.94
$14.17,$1.81
$17.86,$9.13
$21.97,$4.55
$20.56,$3.03
$23.43,$7.36
$24.21,$5.87
$24.33,$1.81
$19.22,$5.59
$25.72,$5.50
$12.34,$7.13
$13.57,$5.90
$21.05,$8.25
$17.75,$3.62
$29.15,$3.45
$23.48,$2.45
$14.37,$1.51
$20.70,$2.13
$11.35,$2.39
$21.34,$8.98
$29.95,$9.53
$15.84,$1.23
$16.20,$2.31
$20.02,$5.42
$11.20,$4.77
$13.90,$1.40
$24.37,$5.09
$18.61,$9.22
$21.25,$4.34
$13.09,$4.23
$25.54,$8.76
$11.84,$6.41
$28.42,$7.30
$26.35,$7.96
$29.91,$2.91
$22.26,$8.45
$17.05,$2.15
$14.67,$1.51
$26.10,$9.28
$21.22,$4.89
$27.27,$9.40
$11.39,$5.04
$23.81,$4.21
$26.57,$5.11
$10.70,$9.99
$20.03,$4.29
$11.29,$7.96
$11.24,$3.37
$28.28,$8.04
$23.93,$5.21
$26.93,$6.62
$29.77,$1.87
$20.68,$5.42
$19.48,$1.99
$14.06,$3.79
$15.60,$8.83
$24.17,$5.96
$22.03,$3.92
$19.71,$6.38
$14.96,$4.96
$18.63,$5.91
$24.96,$1.57
$17.33,$3.76
$27.88,$1.66
$13.80,$5.94
$20.34,$8.61
$19.92,$5.75
$11.87,$4.26
$23.58,$3.02
$15.16,$5.15
$22.29,$3.85
$23.75,$2.86
$23.44,$2.50
$14.43,$4.64
$20.08,$1.26
$19.75,$8.21
$22.07,$4.24
$15.68,$5.51
$11.88,$7.85
$15.18,$9.19
$11.07,$6.51
$12.98,$7.50
$19.56,$1.88
$28.42,$4.38
$22.90,$1.09
$10.25,$1.96
$15.35,$5.35
$29.32,$6.15
$22.85,$9.01
$12.03,$2.34
$17.02,$9.65
$11.84,$1.13
$28.60,$7.81
$21.42,$4.62
$16.32,$9.57
$24.80,$6.83
$16.60,$6.21
$28.49,$2.14
$18.99,$8.12
$22.95,$8.58
$11.83,$1.31
$16.00,$8.44
$29.84,$5.33
$26.50,$5.00
$11.24,$7.40
$25.60,$1.30
$13.43,$2.68
$16.46,$9.75
$24.51,$5.17
$22.44,$9.51
$24.56,$1.09
$12.12,$7.87
$13.32,$1.96
$12.54,$5.70
$24.32,$8.32
$10.26,$1.16
$15.78,$1.34
$12.27,$10.00
$19.68,$7.54
$22.93,$9.35
$17.93,$8.53
$19.09,$8.18
$20.93,$1.64
$16.86,$6.71
$24.65,$3.88
$22.70,$7.81
$11.42,$9.78
$14.74,$6.91
$11.81,$5.95
$15.63,$7.11
$29.41,$2.35
$10.79,$9.05
$19.16,$9.88
$24.74,$5.77
$12.89,$5.15
$14.06,$6.78
$26.54,$2.54
$22.90,$8.36
$15.19,$8.50
$14.44,$2.25
$26.63,$9.97
$27.48,$4.07
$25.81,$2.37
$17.53,$1.61
$23.18,$7.26
$14.36,$9.23
$10.00,$2.12
$17.11,$1.10
$28.32,$3.99
$12.05,$6.84
$25.49,$5.38
$27.61,$8.83
$23.55,$4.05
$23.78,$7.63
$13.13,$8.55
$26.13,$9.37
$14.65,$2.32
